2.023615	7.855410	1.295034	2.447180	-0.100832
1.637460	11.044645	1.384566	2.904560	-0.048922
1.430795	15.177926	2.196040	2.822268	-0.026462
1.384517	18.678494	2.917383	2.603513	-0.021864
1.432926	20.670523	3.522263	2.241714	-0.025724
1.586814	20.339630	3.960996	1.777961	-0.031810
1.938151	17.570714	4.152698	1.346651	-0.043575
2.633253	14.295726	4.127887	1.259356	-0.071470
3.900482	13.455639	3.996433	1.616002	-0.147136
4.563866	15.065562	3.879309	2.221629	-0.158577
4.670727	16.986819	3.771513	2.828672	-0.128847
4.628778	18.052816	3.594694	3.319132	-0.100155
4.497280	18.008642	3.303230	3.679294	-0.076619
4.297425	16.965211	2.897179	3.929339	-0.058006
4.050135	15.206667	2.409852	4.078238	-0.046825
3.791747	13.201234	1.913598	4.110837	-0.054354
3.677797	11.549673	1.598406	3.913938	-0.099145
3.838881	10.754450	2.418690	3.420532	-0.215680
0.628018	12.332562	2.000645	2.540464	-0.051125
0.426350	15.268770	0.505629	3.002525	-0.030996
0.266639	19.492078	0.630980	2.961165	-0.016118
0.172401	23.700833	1.077408	2.836083	-0.008177
0.127126	27.054055	1.893406	2.534105	-0.004952
0.116558	28.734480	2.923477	2.062768	-0.004228
0.138303	28.242609	3.711005	1.433301	-0.004988
0.218128	27.210751	4.080799	1.052915	-0.008089
0.467670	27.441700	4.050027	1.147415	-0.018359
1.325508	28.948694	3.761545	1.716862	-0.045894
2.159705	30.430318	3.378165	2.510004	-0.068105
2.689301	30.993491	2.998938	3.258995	-0.078294
2.918225	30.484282	2.645850	3.846519	-0.079630
2.933028	29.124687	2.322168	4.258157	-0.076793
2.812334	27.269280	2.047317	4.505081	-0.073222
4.619693	25.326933	1.851166	4.587728	-0.213423
5.005271	23.731463	1.798222	4.472546	-0.280426
3.001416	22.757090	4.195050	4.076106	-0.130425
0.151787	15.213061	2.544102	2.294325	-0.005980
0.110501	18.446441	0.988693	2.783825	-0.003891
0.076556	23.424867	1.120779	2.712523	-0.002380
0.053015	28.836372	1.447914	2.534877	-0.001487
0.038259	31.162662	2.113532	2.020036	-0.001021
0.029995	33.109272	2.840391	1.185091	-0.000795
0.025403	32.920749	3.115211	0.055871	-0.000678
0.023512	31.675878	3.046732	0.850529	-0.000635
0.025507	31.384921	2.757389	1.001147	-0.000729
0.218609	32.487285	2.375057	0.620898	-0.007220
0.691871	35.131456	1.998833	0.138573	-0.021506
1.251289	39.289144	1.663845	1.038852	-0.036445
1.709787	39.372493	1.398519	1.883613	-0.046913
1.993056	38.430793	1.201105	2.563594	-0.051955
2.107754	36.831846	1.054565	3.046769	-0.052302
2.113761	35.014746	0.951222	3.341934	-0.047699
2.081905	33.446740	0.920721	3.418143	-0.036075
2.918113	32.495682	5.349759	3.112218	-0.106859
0.085805	17.214410	2.963810	2.220660	-0.002204
0.066594	20.990004	1.450516	2.778315	-0.001614
0.048706	25.586974	1.636656	2.659574	-0.001146
0.034137	27.189787	1.958811	2.371860	-0.000799
0.023713	28.505737	2.515134	1.413246	-0.000564
0.017277	29.699742	2.687423	0.059182	-0.000416
0.013295	28.075890	2.169361	2.260866	-0.000318
0.011062	25.637803	1.611255	3.310289	-0.000262
0.010095	24.504277	1.061479	3.449054	-0.000233
0.034947	24.895573	0.699983	3.064173	-0.001039
0.177439	27.622962	0.573298	2.266238	-0.005241
0.457685	33.039179	0.382495	1.319369	-0.012620
0.794739	39.856307	0.149293	0.364953	-0.020277
1.092990	41.955094	0.198745	0.480207	-0.025665
1.297339	41.039930	0.370829	1.143892	-0.027375
1.399852	39.709172	0.464566	1.598445	-0.023438
1.434598	38.427568	0.454516	1.817271	-0.009537
2.261146	37.583413	6.014102	1.571524	-0.071183
0.066571	18.265512	3.252929	2.162756	-0.001610
0.049852	22.692938	1.931759	2.788707	-0.001168
0.033951	23.952676	2.148099	2.599730	-0.000791
0.021597	23.849715	2.494133	2.152824	-0.000508
0.013143	22.909039	2.875356	0.301890	-0.000314
0.008568	21.841033	2.101981	2.229915	-0.000204
0.006192	17.830363	1.656176	5.690560	-0.000147
0.004944	14.428197	1.303931	6.187134	-0.000115
0.004465	12.949210	1.206337	5.998050	-0.000101
0.008728	13.109310	1.557651	5.511221	-0.000227
